,closeness_global,geometry
0,2.7035723971260594e-05,"LINESTRING (8597384.210789436 3333723.206511006, 8597359.642577818 3333800.62571251, 8597321.949798236 3333930.090097818, 8597316.239108358 3333957.457436739, 8597277.499925561 3334132.066699359, 8597226.01466107 3334336.266780288, 8597210.40766846 3334451.44949466, 8597199.754393192 3334501.770874836, 8597164.978184268 3334737.20285823, 8597132.027614992 3334875.596431674)"
1,2.785773461519375e-05,"LINESTRING (8597434.905685542 3333567.189539088, 8597431.165350653 3333588.846823409, 8597413.966489324 3333638.061134952, 8597409.736348674 3333648.414052762, 8597384.210789436 3333723.206511006)"
2,2.5824996407977722e-05,"LINESTRING (8597132.027614992 3334875.596431674, 8597120.862270067 3334897.776080318, 8597105.767347114 3334918.28086851, 8597087.421895031 3334940.143372455, 8597081.922712186 3334949.697919711, 8597078.037661958 3334958.935257455, 8597057.977889717 3334972.372550062, 8596976.469758559 3335063.959671179, 8596918.427776059 3335127.860397155, 8596872.029812297 3335182.587375155, 8596839.168298615 3335220.070346145, 8596801.007977171 3335243.646351592, 8596758.250160756 3335259.279118846, 8596716.126865439 3335268.668939185, 8596687.762659186 3335270.331191855, 8596653.765686698 3335267.831468451, 8596619.557207176 3335260.535324154, 8596585.57136664 3335247.389585579, 8596550.316483906 3335229.244427254, 8596432.507066796 3335158.097881136, 8596406.280194765 3335142.26221162, 8596397.630670333 3335137.034414609)"
3,2.626781635887743e-05,"LINESTRING (8597132.027614992 3334875.596431674, 8597127.218612991 3334927.987663557, 8597124.335438179 3334941.856338588, 8597125.42636919 3334956.054933046)"
4,2.5419152140123465e-05,"LINESTRING (8588162.793602798 3324409.673146976, 8587874.142163171 3324533.797225826, 8587502.357327819 3324700.383953334, 8587129.169866884 3324866.884010323, 8586884.400570527 3324974.009613912, 8586750.305111917 3325033.348110387, 8586622.476940641 3325091.368229136, 8586607.960879041 3325097.631779795, 8586601.381897135 3325100.687480677, 8586592.409546176 3325104.656089097, 8586587.567148328 3325106.798884547, 8586572.04921131 3325113.65836816, 8586540.211836943 3325128.810105117, 8586482.592868509 3325154.561757827, 8586197.403465046 3325282.052824873, 8585958.244671026 3325389.549473186, 8585856.565448135 3325435.259268594, 8585795.462179638 3325462.723259927, 8585571.220197385 3325562.96857675)"
5,2.6152245860988828e-05,"LINESTRING (8588162.793602798 3324409.673146976, 8588150.715438046 3324403.397241112, 8588125.457045585 3324397.742589069, 8587908.84044845 3324395.536514706, 8587871.214460563 3324392.962761745, 8587837.295411717 3324392.988118914, 8587727.300622864 3324391.999189334, 8587396.692867158 3324393.520619486, 8587381.753791494 3324394.408120488)"
6,2.685843198915157e-05,"LINESTRING (8589332.505416205 3323866.203331924, 8589298.085429654 3323895.730621455, 8589262.875074714 3323918.158219994, 8588542.715892926 3324234.912461028, 8588485.664653895 3324260.446852408, 8588194.931539791 3324395.067406987, 8588162.793602798 3324409.673146976)"
7,2.4420929655660084e-05,"LINESTRING (8585571.220197385 3325562.96857675, 8585531.200840445 3325579.693109177)"
8,2.4541300025261577e-05,"LINESTRING (8585761.765769774 3325465.99459785, 8585596.790284419 3325540.817162404, 8585571.220197385 3325562.96857675)"
9,2.541040448841525e-05,"LINESTRING (8587907.727253543 3323009.471330598, 8587910.766275641 3323019.00464012, 8587916.554889163 3323035.890784895, 8587923.790656064 3323048.720212489, 8587941.345739761 3323063.628732797, 8587978.11456757 3323083.785687273, 8588002.627119444 3323104.107477892, 8588028.88738732 3323130.552474524)"
