Route,Stop_Code_LBSL
1,56
100,46
101,86
102,121
103,88
104,74
105,91
106,72
107,98
108,122
109,76
11,80
110,115
111,128
112,83
113,106
114,95
115,77
116,53
117,106
118,83
119,102
12,76
120,77
121,117
122,126
123,111
124,89
125,108
126,65
127,101
128,105
129,28
13,102
130,88
131,83
132,90
133,76
134,91
135,94
136,117
137,68
138,44
139,84
14,76
140,89
141,95
142,114
143,83
144,72
145,120
146,50
147,79
148,87
149,102
15,68
150,92
151,90
152,88
153,66
154,95
155,72
156,75
157,130
158,87
159,77
16,64
160,101
161,100
162,118
163,53
164,67
165,111
166,126
167,78
168,67
169,71
17,71
170,81
171,98
172,72
173,79
174,112
175,77
176,113
177,124
178,71
179,85
18,97
180,185
181,79
182,98
183,105
184,92
185,112
186,111
187,84
188,99
189,69
19,87
190,65
191,100
192,36
193,56
194,120
195,107
196,106
197,107
198,78
199,77
2,83
20,103
200,70
201,87
202,86
203,78
204,85
205,96
206,81
207,93
208,113
209,23
21,95
210,72
211,77
212,59
213,88
214,66
215,54
216,105
217,67
218,67
219,66
22,66
220,81
221,109
222,88
223,60
224,71
225,60
226,93
227,57
228,88
229,126
23,89
230,75
231,50
232,108
233,79
234,83
235,100
236,80
237,98
238,54
24,75
240,72
241,62
242,69
243,114
244,88
245,89
246,105
247,70
248,70
249,90
25,98
250,86
251,85
252,85
253,90
254,94
255,62
256,73
256D,34
257,58
258,91
259,92
26,68
260,110
261,84
262,65
263,115
264,65
265,93
266,87
267,92
268,39
269,89
27,82
270,71
271,57
272,58
273,106
274,78
275,82
276,120
277,89
278,90
279,97
28,89
280,85
281,119
282,111
283,47
284,71
285,105
286,90
287,77
288,40
289,93
29,83
290,91
291,40
292,84
293,72
294,99
295,87
296,61
297,88
298,56
299,52
3,83
30,87
300,92
301,67
302,77
303,63
306,65
307,83
308,78
309,55
31,73
312,48
313,79
314,131
315,27
316,75
317,45
318,52
319,81
32,78
320,104
321,103
322,68
323,27
324,57
325,84
326,84
327,12
328,100
329,64
33,82
