Route,Run,0
1,1,8247.83463967796
1,2,8552.044645914964
100,1,5753.782624175884
100,2,5209.819718805604
101,1,10804.467542302973
101,2,10653.942466259085
102,1,17946.583036743006
102,2,17944.184271783117
103,1,13085.734200654586
103,2,13205.059084703471
104,1,9330.078425219179
104,2,9311.489849517711
105,1,14541.47958668365
105,2,15270.610359884624
106,1,9161.472507013845
106,2,9407.82648720335
107,1,17338.66903977536
107,2,17063.23132840972
108,1,14117.54693605899
108,2,14495.827207203343
108,3,1068.3756101017605
108,4,1201.1703328584908
108,5,10548.756229498034
109,1,10875.663652180589
109,2,11010.798274837587
11,1,11061.305331853902
11,2,10512.739028334856
110,1,17817.54745692615
110,2,17750.635019344365
111,1,23565.477712529406
111,2,22713.319199062887
112,1,15683.70625639993
112,2,15680.276869477211
113,1,17471.66943265803
113,2,17231.376713660433
114,1,17203.49869900777
114,2,17358.693372458296
115,1,10232.379319168971
115,2,10409.57827835887
116,1,8957.841942146086
116,2,8899.295196585252
117,1,16570.781221283276
117,2,16227.534147301634
118,1,12260.721391670444
118,2,11876.457050284733
119,1,16060.66195139349
119,2,16361.049988527
12,1,11432.370815895078
12,2,10703.876252386472
120,1,12247.761484204413
120,2,12477.516453896666
121,1,18287.40401952329
121,2,18341.925114114958
122,1,17537.982701029472
122,2,17356.368690410127
123,1,17647.561218326453
123,2,17138.02827315989
124,1,12277.505857856395
124,2,12437.77093568697
125,1,16026.75345388289
125,2,15915.085813108624
126,1,9164.914312113284
126,2,9766.201274055296
127,1,14392.401498762407
127,2,14704.6792553535
128,1,16774.505569316727
128,2,17239.99731124367
129,1,3784.4263335747564
129,2,3869.1845967806903
13,1,15129.02541770873
13,2,15217.099847027659
130,1,13994.374342522533
130,2,14081.76153606778
131,1,12086.175811133966
131,2,11726.540952791322
132,1,16055.199833500179
132,2,16123.612273499413
133,1,11081.000189421497
133,2,11143.34328102529
134,1,11869.661335191602
134,2,12191.728354642706
135,1,12302.745624203393
135,2,11644.876789322292
136,1,16024.662816104217
136,2,15717.935233388247
137,1,9821.15887170575
137,2,9907.597823754873
138,1,5990.426700868053
138,2,6633.752118725688
139,1,11869.439244762663
139,2,11698.910210523418
14,1,11104.45212923469
14,2,11210.337943525385
140,1,14816.055511187755
140,2,14371.182220195635
141,1,12476.045271093906
141,2,12471.615282596824
142,1,18153.09259230153
142,2,18571.166240207516
143,1,11622.198848587965
143,2,11784.575228260399
144,1,9945.88205636991
144,2,9968.79052407092
145,1,17801.6422966849
145,2,18176.196854110993
146,1,9174.2111145435
146,2,9409.714559722695
147,1,9737.289435897863
147,2,9853.177780220838
148,1,13082.407929374938
148,2,12948.431625279953
149,1,13905.540088171689
149,2,13755.823044656627
15,1,9188.57192932004
15,2,9110.898694629535
150,1,14284.184447331278
150,2,14479.10233669994
151,1,14215.341154184918
151,2,13777.819754851273
152,1,12109.956624486704
152,2,11338.236641147878
153,1,7591.7511355070055
153,2,7690.607468467956
154,1,15451.742696340578
154,2,15485.362394783477
155,1,10170.501917937678
155,2,10339.879800324583
156,1,11666.522743679097
156,2,11256.276758976366
157,1,17741.003380014645
157,2,17661.53847657799
158,1,10883.535345074017
158,2,10908.715493971666
159,1,11290.847368111434
159,2,11410.156507847438
16,1,8916.106874376168
16,2,9139.023477708035
160,1,16132.265729957311
160,2,16403.160618937247
161,1,16696.858147967167
161,2,15850.103011499883
162,1,18737.485820976424
162,2,18691.141743427273
163,1,7628.057350961886
163,2,7490.307558323757
164,1,9655.657241656168
164,2,9697.164752430497
165,1,15724.188175146326
165,2,15653.245806190907
166,1,23615.520716734864
166,2,22679.31044089486
167,1,12634.118702497988
167,2,12773.912601126434
168,1,10536.910096700727
168,2,10282.907316156061
169,1,8999.01166195018
169,2,9162.060345058913
17,1,8718.791927014976
17,2,8938.352859889546
170,1,12176.298852293357
170,2,12472.799716720254
171,1,13366.879841445252
171,2,13272.038002744997
172,1,10891.380482607414
172,2,10802.71023481121
173,1,14375.35266165239
173,2,14575.439816464694
174,1,16018.021294658074
174,2,16924.402982964184
175,1,11802.047008648979
175,2,12038.62352378712
176,1,15101.16588242971
176,2,14857.199438973987
177,1,17706.86991152579
177,2,17962.775245974735
178,1,10203.041745458693
178,2,10278.045833468845
179,1,12754.814187542552
179,2,12653.006279653331
18,1,14043.780869554848
18,2,14306.31712166626
180,1,16683.79527237446
180,2,16870.462472987478
180,3,8986.477656263882
180,4,8074.737258017576
181,1,11400.977312876135
181,2,11601.959054518062
182,1,17080.14060573684
182,2,17069.621699912113
183,1,16378.173330282201
183,2,16266.839697832744
184,1,14635.498891866138
184,2,14981.871724469633
185,1,14384.761074239326
185,2,14677.016856412194
186,1,18261.21942546786
186,2,18015.577234333938
187,1,11476.9766200984
187,2,11664.411328927481
188,1,14395.011108753446
188,2,14768.623289120012
189,1,9546.708141756559
189,2,9478.809581037964
19,1,12751.223672752703
19,2,12464.820179259237
190,1,10079.645287346282
190,2,9878.251452685028
191,1,14791.848551116092
191,2,14697.723770416733
192,1,8892.450679667372
192,2,8962.040129035397
193,1,10891.834543317947
193,2,10592.863045165897
194,1,17069.84326604365
194,2,16880.383323733804
195,1,15710.309567662756
195,2,15443.98922531597
196,1,14111.258324425018
196,2,14193.91032687174
197,1,14448.753813044244
197,2,14614.808873027318
198,1,10664.931070990038
198,2,10273.330555135832
199,1,9990.265123964302
199,2,9704.964108167107
2,1,11993.137019878364
2,2,11844.044790411404
20,1,15663.230818817368
20,2,15355.743610669013
200,1,10674.05885600785
200,2,10987.118793266134
201,1,11930.205677748296
201,2,11881.04284103162
202,1,12822.022179879476
202,2,12847.499328955822
203,1,14160.05505701374
203,2,14183.003829413828
204,1,12962.889524385431
204,2,12966.149159140481
205,1,12891.365779751182
205,2,13381.242426931169
206,1,11799.049003592838
206,2,11869.778284636108
207,1,13474.532913200475
207,2,13636.44436625244
208,1,17569.562137170033
208,2,17522.603991956275
209,1,2931.1784325865847
209,2,2952.6137067230225
21,1,13696.557915514533
21,2,13534.497308245733
210,1,10630.7822281741
210,2,10255.473707752952
211,1,9952.421565468629
211,2,9846.224523377083
212,1,8092.946298772737
212,2,8101.877729021451
213,1,13281.64633608199
213,2,13572.832069967453
214,1,8933.634433206662
214,2,9042.122228310045
215,1,8263.96664116229
215,2,8185.259807436147
216,1,19093.362168724176
216,2,19097.102564356544
217,1,12955.461140285786
217,2,12858.488962018868
218,1,8139.858126313162
218,2,8105.7883202190205
219,1,9144.912397512504
219,2,9171.826513617789
22,1,9427.033618307381
22,2,9459.913612686012
220,1,11528.004824949032
220,2,11227.446119467835
221,1,15946.316862936677
221,2,15450.690358931952
222,1,15427.034252564184
222,2,15093.110139770559
223,1,9446.3918575178
223,2,9894.546283860664
224,1,9057.815224836542
224,2,9129.521233213567
225,1,7748.1005653189095
225,2,7239.388111119269
226,1,13489.052481130137
226,2,13552.661035580459
227,1,8167.045414290708
227,2,8456.691245615666
228,1,12374.133248906128
228,2,12597.019465298652
229,1,19476.34407634428
229,2,19816.986016381255
23,1,13002.020548280383
23,2,12717.179552463173
230,1,10764.926464002028
230,2,10420.045239878678
231,1,9666.621100516255
231,2,9759.837060868595
232,1,18867.793809892384
232,2,18878.921241838652
233,1,13769.363583181319
233,2,13898.923856827345
234,1,11729.657062021508
234,2,11711.240472203881
235,1,15142.086270087979
235,2,15147.153610952657
236,1,9870.385751274122
236,2,9647.254920488027
237,1,13674.395905370106
237,2,14172.08463740141
238,1,6920.392049952615
238,2,6808.051966324701
24,1,9852.647073777394
24,2,10188.177402131458
240,1,11453.453327453692
240,2,11500.41358161802
241,1,7346.575676180531
241,2,7513.247757459526
242,1,8371.936715485992
242,2,8290.021142589956
243,1,15476.740583000817
243,2,15258.234386641345
244,1,11870.78020730927
244,2,12241.91459436203
245,1,14101.157863918761
245,2,14091.367361454764
246,1,22425.76066639631
246,2,22949.895740433236
247,1,12264.600367411309
247,2,11810.709125245425
248,1,10068.961692796587
248,2,10102.088360807633
249,1,12370.557780321084
249,2,12096.452105733997
25,1,14173.114010484369
25,2,14427.757473633654
250,1,11916.935449333016
250,2,11399.213879268653
251,1,14025.544641662622
251,2,14030.014700724032
252,1,12012.736550267324
252,2,12275.903260432568
253,1,11618.230698296067
253,2,11729.175778673003
254,1,12405.988389344819
254,2,12623.067959512866
255,1,8946.108378045441
255,2,8207.028393557337
256,1,11143.487260652002
256,2,10225.72221093633
256D,1,10225.72221093633
257,1,7672.177353898203
257,2,7718.494682280852
258,1,14781.772569236411
