,closeness_global,geometry
0,2.967301821845321e-05,"LINESTRING (521571.9999999999 167573.0000000008, 521620 167540.0000000013)"
1,2.9706810830988306e-05,"LINESTRING (521571.9999999999 167573.0000000008, 521555.01 167580.5100000008)"
2,2.968110641635943e-05,"LINESTRING (521608 167590.0000000001, 521571.9999999999 167573.0000000008)"
3,2.965549689364627e-05,"LINESTRING (521620 167540.0000000013, 521608 167590.0000000001)"
4,2.955530721937457e-05,"LINESTRING (521655.9999999999 167331.9999999993, 521620 167540.0000000013)"
5,2.9653094301022058e-05,"LINESTRING (521621.0000000001 167610.000000001, 521608 167590.0000000001)"
6,2.9782885702692358e-05,"LINESTRING (521406 167543.9999999998, 521555.01 167580.5100000008)"
7,2.992936234002796e-05,"LINESTRING (521239.42 167487.6200000004, 521406 167543.9999999998)"
8,2.9696248285980634e-05,"LINESTRING (521555.01 167580.5100000008, 521535 167617.9999999994)"
9,2.9665650828787518e-05,"LINESTRING (521535 167617.9999999994, 521548.9999999999 167641.0000000006)"
10,2.9523372535643937e-05,"LINESTRING (521853.8700000001 167753.0699999998, 521621.0000000001 167610.000000001)"
11,2.9625785219843115e-05,"LINESTRING (521621.0000000001 167610.000000001, 521601.75 167643.1200000003)"
12,2.9556126553288824e-05,"LINESTRING (521601.75 167643.1200000003, 521714.5 167686.6300000001)"
13,2.961413554156926e-05,"LINESTRING (521588.0000000001 167646.0000000001, 521601.75 167643.1200000003)"
14,2.9636551580183965e-05,"LINESTRING (521548.9999999999 167641.0000000006, 521588.0000000001 167646.0000000001)"
15,2.963545681820498e-05,"LINESTRING (521561.0000000001 167681.000000001, 521548.9999999999 167641.0000000006)"
16,2.961820939196493e-05,"LINESTRING (521561.0000000001 167681.000000001, 521588.0000000001 167646.0000000001)"
17,2.9614919978056088e-05,"LINESTRING (521560.9999999999 167685.9999999998, 521561.0000000001 167681.000000001)"
18,2.9609622466990374e-05,"LINESTRING (521560 167693, 521560.9999999999 167685.9999999998)"
19,3.0435049689788277e-05,"LINESTRING (520866.9300000001 167208.9699999999, 520861.38 167204.6400000006)"
20,3.0408829170945237e-05,"LINESTRING (520906.2000000001 167239.6200000009, 520866.9300000001 167208.9699999999)"
21,3.0721673822514515e-05,"LINESTRING (520861.38 167204.6400000006, 520388.1 166832.1700000007)"
22,3.0376004621961324e-05,"LINESTRING (520923.09 167252.7899999992, 520906.2000000001 167239.6200000009)"
23,2.932218515589537e-05,"LINESTRING (521649.9999999999 167158.0000000001, 521652 167180.0000000016)"
24,2.9302818575458798e-05,"LINESTRING (521649 167135.0000000003, 521649.9999999999 167158.0000000001)"
25,2.937402505599876e-05,"LINESTRING (521652 167180.0000000016, 521659 167277.9999999992)"
26,2.9439790631598284e-05,"LINESTRING (521659 167277.9999999992, 521655.9999999999 167331.9999999993)"
